model,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Qwen2.5-1.5B-Instruct,negpos,negative,22,0.9989002010699202,0.0003032466308873016,150,15000,2.4759983729733392e-05
Qwen2.5-1.5B-Instruct,negpos,negative,23,0.9990743787429723,0.00024883366903892225,150,15000,2.031718399899814e-05
Qwen2.5-1.5B-Instruct,negpos,negative,24,0.9991741180412684,0.00020993216708429534,150,15000,1.7140889665107526e-05
Qwen2.5-1.5B-Instruct,negpos,negative,25,0.9991437491833166,0.00019039984004445612,150,15000,1.5546081840548437e-05
Qwen2.5-1.5B-Instruct,negpos,negative,26,0.9990569453939431,0.0002034632900809546,150,15000,1.6612708069540554e-05
Qwen2.5-1.5B-Instruct,negpos,negative,27,0.9957692389585081,0.0007036984016055316,150,15000,5.745673389152224e-05
Qwen2.5-1.5B-Instruct,negpos,positive,0,0.9984977144173364,0.00011953604445266311,150,15000,9.76007715932241e-06
Qwen2.5-1.5B-Instruct,negpos,positive,1,0.9982207037254487,0.00014427504835203697,150,15000,1.1780008369262054e-05
Qwen2.5-1.5B-Instruct,negpos,positive,2,0.998089485160873,0.00013131481254122316,150,15000,1.0721809546507398e-05
Qwen2.5-1.5B-Instruct,negpos,positive,3,0.9973217676737338,0.00013838585670094395,150,15000,1.1299157884507498e-05
Qwen2.5-1.5B-Instruct,negpos,positive,4,0.997373521928215,0.00012417819069256587,150,15000,1.013910681262712e-05
Qwen2.5-1.5B-Instruct,negpos,positive,5,0.9975805415451371,0.00014530268152104252,150,15000,1.186391426615615e-05
Qwen2.5-1.5B-Instruct,negpos,positive,6,0.9978260597344024,0.00011443112684729123,150,15000,9.34326238225202e-06
Qwen2.5-1.5B-Instruct,negpos,positive,7,0.9975829963483174,0.00013118829611318157,150,15000,1.0711479523414686e-05
Qwen2.5-1.5B-Instruct,negpos,positive,8,0.9976988916888068,0.0001375331609006621,150,15000,1.1229535563957342e-05
Qwen2.5-1.5B-Instruct,negpos,positive,9,0.9974799061026612,0.00019656098307800006,150,15000,1.6049137062697965e-05
Qwen2.5-1.5B-Instruct,negpos,positive,10,0.9978860078749265,0.00014233053567268056,150,15000,1.1621239573835541e-05
Qwen2.5-1.5B-Instruct,negpos,positive,11,0.9979346451961366,0.0001863787372090056,150,15000,1.5217760168878023e-05
Qwen2.5-1.5B-Instruct,negpos,positive,12,0.9981300020290071,0.0001822214185959128,150,15000,1.4878316525536276e-05
