model,category,pair_slug,concat_variant,reference_variant,layer,mean_cos,std_cos,n_rows
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,19,0.5850461893037626,0.10911791341636469,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,20,0.5870617726633345,0.10979240994606068,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,21,0.5785267650965846,0.11575159997167744,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,22,0.5836195378101396,0.11731046259653109,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,23,0.5747676893129178,0.1184079451757414,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,24,0.6016086294971417,0.10632067122533066,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,25,0.6325904280786631,0.0981932298684172,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,26,0.7271587737104694,0.06929848875899457,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,27,0.7891197866090492,0.05377638740097491,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,0,0.9978279927506903,0.0011911068997067914,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,1,0.9969675987134176,0.00121828180347491,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,2,0.9949808294512432,0.001413199119869315,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,3,0.9779398100935488,0.004701290821149319,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,4,0.9233677606586026,0.02375167798938374,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,5,0.8777436193976476,0.05024588244793441,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,6,0.8223217778102768,0.09002407761266973,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,7,0.7750296672229272,0.11985001718065366,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,8,0.7133622442411566,0.1355284914142424,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,9,0.6847773064378212,0.14788904618183418,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,10,0.6352669677668132,0.16335961217197478,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,11,0.6417861900139249,0.12752288534386,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,12,0.6004882886267865,0.1286375865191067,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,13,0.6043660317572137,0.12235211906571869,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,14,0.6254170142090278,0.11044948280897648,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,15,0.6066251449701975,0.11815024479349218,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,16,0.6077018258628012,0.11975223797207347,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,17,0.62981303832444,0.11515268772610099,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,18,0.6204153155589445,0.12251277021326205,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,19,0.613840500732252,0.12333710746302952,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,20,0.6175481312737982,0.12842930704281463,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,21,0.6110035615300847,0.13223887554416586,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,22,0.6128305723415522,0.12616585879625336,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,23,0.6068380482770328,0.12999953704484504,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,24,0.6384651629588709,0.11551416875536619,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,25,0.6643668962703267,0.10376522068233136,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,26,0.761355331950466,0.07801780695866255,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,27,0.8184452751414613,0.05524868670081792,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,0,0.9984598373084123,0.000648108435628313,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,1,0.9976243439711407,0.0008717553893452459,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,2,0.9958170140440025,0.0012839826511798276,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,3,0.9829873287699218,0.00410032232650325,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,4,0.9346002999188242,0.021584862705891335,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,5,0.896298623578454,0.04195007279917369,100
