model,category,pair_slug,concat_variant,reference_variant,layer,mean_cos,std_across_rows,n_rows_total
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,13,0.18510355518820945,0.16983470575500126,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,14,0.18361881554294426,0.15447804864938552,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,15,0.17842837422968522,0.15640493863613644,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,16,0.18239515252164742,0.16151000440757657,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,17,0.1734400428330187,0.15953644164108818,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,18,0.18489239628211443,0.16200302355969304,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,19,0.20362646798947906,0.15482583414608966,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,20,0.225402070809469,0.1611670880401568,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,21,0.2395781543339601,0.16878515675063008,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,22,0.23313374204147125,0.15905030984388124,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,23,0.2366264843406177,0.15763609383739302,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,24,0.23190061572701196,0.15070850317086626,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,25,0.212645036065806,0.14380771359017158,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,26,0.2003037693419965,0.15025040970998385,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,27,0.1866237661362188,0.1462108582715256,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,0,0.5041156585816059,0.12621187637055067,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,1,0.4641802141720218,0.11762683820810235,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,2,0.4405534115622547,0.12015079120374432,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,3,0.38831525364835157,0.11215535684637962,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,4,0.2350325462174422,0.19095386734271844,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,5,0.25226221147897127,0.2269218265780138,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,6,0.21933495579035442,0.28127350492700565,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,7,0.24061432624877085,0.3044350424450756,100
