model,category,pair_slug,concat_variant,reference_variant,mean_cos,std_across_layers,n_layers,n_rows_total,pair_overall_mean
Llama-3.2-3B-Instruct,ideology,ideology__economic_growth_priority__sustainability_priority,posneg,positive,0.7070838621997187,0.15333883582458172,28,2800,0.7062703715378327
Llama-3.2-3B-Instruct,ideology,ideology__energy_transition__fossil_energy_support,negpos,negative,0.7127649737604667,0.15360649173189042,28,2800,0.7044567546050493
Llama-3.2-3B-Instruct,ideology,ideology__energy_transition__fossil_energy_support,negpos,positive,0.7039283600624777,0.15714257033391418,28,2800,0.7044567546050493
Llama-3.2-3B-Instruct,ideology,ideology__energy_transition__fossil_energy_support,posneg,negative,0.7191196379083891,0.14865936997361553,28,2800,0.7044567546050493
Llama-3.2-3B-Instruct,ideology,ideology__energy_transition__fossil_energy_support,posneg,positive,0.6820140466888638,0.1730504560515412,28,2800,0.7044567546050493
Llama-3.2-3B-Instruct,ideology,ideology__environmental_protection__economic_growth,negpos,negative,0.7009402477432826,0.1629194207509844,28,2800,0.6958027511932541
Llama-3.2-3B-Instruct,ideology,ideology__environmental_protection__economic_growth,negpos,positive,0.6793696277812046,0.17236628421858374,28,2800,0.6958027511932541
Llama-3.2-3B-Instruct,ideology,ideology__environmental_protection__economic_growth,posneg,negative,0.6944270698280984,0.1691319566960881,28,2800,0.6958027511932541
Llama-3.2-3B-Instruct,ideology,ideology__environmental_protection__economic_growth,posneg,positive,0.7084740594204307,0.15426199299065807,28,2800,0.6958027511932541
Llama-3.2-3B-Instruct,ideology,ideology__equality_priority__merit_priority,negpos,negative,0.733369411235713,0.14093255153591852,28,2800,0.7198018874746367
Llama-3.2-3B-Instruct,ideology,ideology__equality_priority__merit_priority,negpos,positive,0.7136355671371394,0.15096043826822006,28,2800,0.7198018874746367
Llama-3.2-3B-Instruct,ideology,ideology__equality_priority__merit_priority,posneg,negative,0.7163745600702253,0.15211319112539823,28,2800,0.7198018874746367
Llama-3.2-3B-Instruct,ideology,ideology__equality_priority__merit_priority,posneg,positive,0.7158280114554693,0.1475944241634191,28,2800,0.7198018874746367
Llama-3.2-3B-Instruct,ideology,ideology__equity_priority__efficiency_priority,negpos,negative,0.7014238348545191,0.1625475033970176,28,2800,0.6994159304537516
Llama-3.2-3B-Instruct,ideology,ideology__equity_priority__efficiency_priority,negpos,positive,0.6965753638859988,0.1614213783273324,28,2800,0.6994159304537516
Llama-3.2-3B-Instruct,ideology,ideology__equity_priority__efficiency_priority,posneg,negative,0.6901361767982009,0.170588455198623,28,2800,0.6994159304537516
Llama-3.2-3B-Instruct,ideology,ideology__equity_priority__efficiency_priority,posneg,positive,0.7095283462762877,0.15132327258215775,28,2800,0.6994159304537516
Llama-3.2-3B-Instruct,ideology,ideology__global_cooperation__national_self_reliance,negpos,negative,0.7246134056946801,0.14969925034895779,28,2800,0.7171622501906714
Llama-3.2-3B-Instruct,ideology,ideology__global_cooperation__national_self_reliance,negpos,positive,0.7070751038214624,0.15836704144591235,28,2800,0.7171622501906714
Llama-3.2-3B-Instruct,ideology,ideology__global_cooperation__national_self_reliance,posneg,negative,0.7088058033687006,0.16162667437358086,28,2800,0.7171622501906714
