variant,layer_index,mean_pos_projection,mean_neg_projection,mean_projection_dominance_pos_minus_neg,mean_abs_projection_gap,mean_min_projection,mean_pos_cosine,mean_neg_cosine,mean_cosine_dominance_pos_minus_neg,mean_frac_pos_projection_dominates,mean_frac_neg_projection_dominates,num_pairs
negpos,1,-0.051240032959548015,-0.08995823561063541,0.0387182026510874,0.052183868623589175,-0.0966910685968863,-0.027134681402328303,-0.04761744145131459,0.02048276004898629,0.782,0.21800000000000003,150
negpos,2,-0.1551631118084813,-0.1498475398766908,-0.0053155719317905005,0.037560591695602885,-0.1712856216903875,-0.06991619195487124,-0.06756766995596732,-0.0023485219989039176,0.5336666666666666,0.4663333333333334,150
negpos,3,-0.1920602379976645,-0.1375852921635177,-0.05447494583414681,0.05751394696218898,-0.19357973856168562,-0.0744739263261649,-0.05338825047988994,-0.02108567584627494,0.09406666666666666,0.9059333333333333,150
negpos,4,0.1761144749542418,0.21232683134477548,-0.03621235639053367,0.062403673669292864,0.1630188163148622,0.054582217022180246,0.06578173026456509,-0.011199513242384844,0.29133333333333333,0.7086666666666667,150
negpos,5,0.2825666254840666,0.5526658058262989,-0.2700991803422324,0.27209963845325513,0.2815663964285552,0.06631907125153523,0.13197094498833226,-0.06565187373679703,0.0178,0.9822000000000001,150
negpos,6,0.016665042967421224,0.033741268509943856,-0.01707622554252263,0.10486897907091684,-0.027231333796775885,0.0030793360045945966,0.006638739211023732,-0.003559403206429137,0.4484,0.5516,150
negpos,7,0.6309218248558804,0.8538597887713805,-0.22293796391550014,0.24953857448184427,0.6176215195727084,0.11758599712957171,0.16044766244453734,-0.042861665314965616,0.10406666666666667,0.8959333333333332,150
negpos,8,0.7664238970704886,1.1039098560026646,-0.3374859589321758,0.3565210945509296,0.7569063292611117,0.12739341732028744,0.18440924958801186,-0.05701583226772441,0.06773333333333334,0.9322666666666667,150
negpos,9,0.8848946028514845,1.0605171362844399,-0.1756225334329554,0.278112536156605,0.8336496014896596,0.13460531180091476,0.1610047651511866,-0.026399453350271843,0.2598,0.7402,150
negpos,10,1.8080562424547073,2.1183303426918103,-0.31027410023710267,0.40112253573051815,1.7626320247079994,0.2383765430781364,0.2806731982619686,-0.04229665518383215,0.2094666666666667,0.7905333333333333,150
negpos,11,2.0779039384288946,2.3895351568464984,-0.31163121841760394,0.4509271240582136,2.0082559856085895,0.26541375809060935,0.30600390336251887,-0.04059014527190952,0.24666666666666667,0.7533333333333333,150
negpos,12,2.097174574325897,2.4741284524104388,-0.3769538780845419,0.5343933331353207,2.0184548468005072,0.24224363437069277,0.285489410740251,-0.04324577636955827,0.2466,0.7534000000000001,150
negpos,13,1.98970686993275,2.6016589069058402,-0.6119520369730903,0.7203219550329771,1.9355219109028063,0.21420848691039449,0.27768452060008203,-0.06347603368968757,0.14713333333333334,0.8528666666666667,150
negpos,14,2.1940224893912483,3.0050075864035937,-0.8109850970123451,0.9413438351762708,2.1288431203092855,0.21635475401507112,0.29427017690697305,-0.07791542289190195,0.1148,0.8852,150
negpos,15,2.0746033813724005,3.1047002720894477,-1.0300968907170471,1.1879664173837021,1.995668618039073,0.18187880005121884,0.2690466522940967,-0.08716785224287783,0.11873333333333333,0.8812666666666666,150
negpos,16,1.8630849780186827,3.2258486616966633,-1.3627636836779808,1.53237297555874,1.7782803320783032,0.15122376491072972,0.25670173130666396,-0.10547796639593422,0.10033333333333334,0.8996666666666666,150
negpos,17,1.8982543845129738,3.4385899734189405,-1.540335588905967,1.7790456464566868,1.7788993557376136,0.14516750817027524,0.2577063937105888,-0.11253888554031356,0.1016,0.8984,150
negpos,18,2.1536491009640013,3.7667004630936134,-1.613051362129612,1.8865878711590998,2.0168808464492574,0.15096263656158965,0.2586402495996942,-0.10767761303810457,0.10753333333333333,0.8924666666666667,150
negpos,19,2.2839540750056377,4.112230301615772,-1.8282762266101338,2.1795324781382965,2.1083259492415567,0.14993019343160097,0.2647308084460477,-0.11480061501444676,0.1148,0.8852,150
negpos,20,2.738949422628189,4.746983669942993,-2.0080342473148036,2.4309389163537043,2.527497088108739,0.15817501024381525,0.2713993362109072,-0.11322432596709196,0.12426666666666666,0.8757333333333333,150
negpos,21,2.9963936198955166,5.205733002583906,-2.2093393826883894,2.6877611901951015,2.7571827161421605,0.16030558815239263,0.2759754781856887,-0.11566989003329607,0.12446666666666668,0.8755333333333334,150
negpos,22,3.3030437443304885,5.630010176346453,-2.326966432015965,2.8893782310903644,3.0218378447932888,0.16242936762114168,0.27548295506372467,-0.11305358744258297,0.12960000000000002,0.8704000000000001,150
negpos,23,3.999351257485846,6.458850359428068,-2.4594991019422223,3.0712058145755363,3.6934979011691884,0.17887571390145546,0.28822686716910084,-0.10935115326764538,0.13426666666666667,0.8657333333333332,150
negpos,24,4.450738097578574,7.138426405507059,-2.687688307928485,3.3408199029872216,4.1241723000492065,0.18455630387273986,0.2960843038306432,-0.11152799995790337,0.1375333333333333,0.8624666666666667,150
negpos,25,5.097594296083491,7.9337211346384535,-2.8361268385549625,3.5880473272816866,4.721634051720129,0.1871835510522685,0.2913630078039523,-0.10417945675168379,0.1416,0.8583999999999999,150
negpos,26,6.122423959723067,9.562096569819314,-3.439672610096247,4.21607083207591,5.734224848733235,0.19333569324137775,0.3018541622089213,-0.10851846896754358,0.12973333333333334,0.8702666666666666,150
negpos,27,10.763184258104964,15.005104718997798,-4.241920460892834,4.99734812185674,10.385470427623012,0.26034283469511127,0.36343144548092277,-0.10308861078581151,0.1375333333333333,0.8624666666666667,150
negpos,28,16.00626444492162,21.36382621520612,-5.3575617702845015,7.533041636672566,14.918524511727588,0.17577100661544673,0.23463440150296236,-0.05886339488751566,0.214,0.786,150
posneg,1,-0.05166133992102264,-0.08951226333587002,0.03785092341484738,0.05184193058747568,-0.09650776692218417,-0.02735580821993866,-0.04738362681771675,0.020027818597778083,0.7770666666666667,0.22293333333333332,150
posneg,2,-0.15538738005469638,-0.1494960091501341,-0.005891370904562268,0.03760158765652558,-0.17124248843067805,-0.07001816440821529,-0.06741183275643069,-0.0026063316517845924,0.5289999999999999,0.47100000000000003,150
posneg,3,-0.19107203829845257,-0.13859763389427907,-0.052474404404173516,0.05586497888549787,-0.19276732553911474,-0.07409704037669801,-0.05378401369079455,-0.02031302668590346,0.101,0.8989999999999999,150
posneg,4,0.17986635411532678,0.2081619247443522,-0.028295570629025418,0.06136286776267592,0.16333270554850154,0.05571814794805687,0.06446610553074612,-0.008747957582689257,0.3378,0.6622,150
posneg,5,0.2864246866848501,0.5385999860707547,-0.25217529938590455,0.25514121654200056,0.28494172810680213,0.06729531358421466,0.1286450161797385,-0.06134970259552384,0.02393333333333333,0.9760666666666666,150
posneg,6,0.016036521888351415,0.015463748880792499,0.0005727730075589138,0.10469799402282282,-0.03659886162683945,0.0029836150565049034,0.0028697255330609826,0.00011388952344392027,0.5064,0.49360000000000004,150
posneg,7,0.627973210157124,0.8316665291558085,-0.20369331899868445,0.23521781599471975,0.6122109616591064,0.11708459288590375,0.15628147109540952,-0.039196878209505764,0.12553333333333336,0.8744666666666666,150
posneg,8,0.7604689935467863,1.0765381630074022,-0.31606916946061586,0.3387393398932885,0.7491339083304499,0.12655111663564536,0.18002485717645153,-0.05347374054080619,0.0772,0.9228,150
posneg,9,0.8629048992490836,1.0366007702930506,-0.17369587104396708,0.2773300834802183,0.811087793030958,0.13143849507805572,0.1575509677814428,-0.026112472703387082,0.27026666666666666,0.7297333333333333,150
posneg,10,1.7731365823680338,2.107567349532201,-0.3344307671641671,0.4098463633389197,1.7354287842806575,0.2332817660070215,0.27859129523641146,-0.04530952922938995,0.19013333333333332,0.8098666666666667,150
posneg,11,2.0515339820955227,2.378047120515703,-0.3265131384201801,0.44787920910483053,1.9908509467531978,0.2618553480165056,0.3041029995930243,-0.042247651576518615,0.23426666666666668,0.7657333333333334,150
posneg,12,2.069333777059187,2.4606303021545948,-0.3912965250954077,0.535283975626388,1.997340051793697,0.23884002139086466,0.2836186803268787,-0.04477865893601404,0.23333333333333334,0.7666666666666667,150
posneg,13,2.0668532681523573,2.5249487025147204,-0.4580954343623636,0.6377273957443603,1.9770372874613589,0.22179607925420872,0.26891798152169655,-0.04712190226748786,0.24086666666666667,0.7591333333333333,150
posneg,14,2.499568892580908,2.704090706169615,-0.20452181358870733,0.7274234460799863,2.238118076335268,0.2453849059027911,0.26486295437949814,-0.019478048476707054,0.3912,0.6088,150
posneg,15,2.438562874506197,2.725984005879901,-0.28742113137370384,0.8707802217249522,2.146883329330573,0.21286493023679956,0.23662004828514174,-0.023755118048342197,0.35459999999999997,0.6454,150
posneg,16,2.350974361615573,2.6988757124051177,-0.3479013507895449,1.0512103142428348,1.9993198798889276,0.18943577690444735,0.21515045755109322,-0.02571468064664586,0.3562,0.6438,150
posneg,17,2.4382548190154023,2.8227424405274997,-0.3844876215120976,1.234363888973618,2.013316685284642,0.18547047295281832,0.21235437556503498,-0.026883902612216605,0.3458,0.6542,150
posneg,18,2.729302666792294,3.12124031009828,-0.39193764330598596,1.3645725962556166,2.242985190317479,0.19019562239454332,0.21465361071724762,-0.024457988322704304,0.3522666666666667,0.6477333333333333,150
posneg,19,2.954985605089688,3.372162982309366,-0.4171773772196789,1.5605195982476237,2.383314494575715,0.19271441669028241,0.2171684432144076,-0.024454026524125146,0.3641333333333333,0.6358666666666667,150
posneg,20,3.5259355124082603,3.910996874089747,-0.38506136168148675,1.7842089665598493,2.8263617099690794,0.2026834625365023,0.22307863957778962,-0.020395177041287318,0.3831333333333333,0.6168666666666667,150
posneg,21,3.878282104266525,4.257336825163316,-0.37905472089679154,1.9861064101718682,3.0747562596289866,0.2066427804933763,0.22524821464959374,-0.01860543415621743,0.3933333333333333,0.6066666666666667,150
posneg,22,4.331550530494034,4.545341805509594,-0.21379127501555956,2.1746122916768003,3.351140022163414,0.21203970382154028,0.22175101214975082,-0.009711308328210554,0.42286666666666667,0.5771333333333333,150
posneg,23,5.148173628188161,5.2378588658873815,-0.08968523769921993,2.3509411493340897,4.017545672370727,0.22939995295718735,0.23305980414807606,-0.0036598511908887106,0.44593333333333335,0.5540666666666667,150
