feature_set,feature_mode,split,n_rows,n_pairs,n_features,n,positive_rate,balanced_accuracy,f1,roc_auc,average_precision
raw,pos_neg,group_pair,30000,150,56,30000,0.5042333333333333,0.7787975054442903,0.7660981185159135,0.8446169858994026,0.870233752553126
raw,dominance,group_pair,30000,150,28,30000,0.5042333333333333,0.7018321837835211,0.710627690913211,0.7523260367406516,0.7201755654675241
raw,derived,group_pair,30000,150,84,30000,0.5042333333333333,0.773763653484298,0.7648401826484018,0.8413697264547466,0.8672440315868417
raw,all_projection,group_pair,30000,150,140,30000,0.5042333333333333,0.7738611204711647,0.7650171179582944,0.8410630955851942,0.867131724792493
global_mean_centered,pos_neg,group_pair,30000,150,56,30000,0.5042333333333333,0.7697597909140785,0.7637916310845432,0.8440376554815344,0.8626745023939488
global_mean_centered,dominance,group_pair,30000,150,28,30000,0.5042333333333333,0.6782355722735343,0.6875263174942506,0.729743609042979,0.7068844458761789
global_mean_centered,derived,group_pair,30000,150,84,30000,0.5042333333333333,0.766722570970432,0.7607894018027861,0.8436847901865818,0.8614874773760673
global_mean_centered,all_projection,group_pair,30000,150,140,30000,0.5042333333333333,0.7668923542523632,0.760870307750111,0.8432821035424357,0.8612967425444374
