feature_mode,n_features,n,positive_rate,balanced_accuracy,f1,roc_auc,average_precision
shared,28,30000,0.5042333333333333,0.7806478114157792,0.764498055030156,0.8418305817131221,0.8675454757309998
contrast,28,30000,0.5042333333333333,0.6674117185938186,0.6688130642591609,0.7103799187453752,0.6798320254699521
abs_contrast,28,30000,0.5042333333333333,0.6009225990248874,0.6081519070224259,0.6472224313359778,0.6383602585204708
contrast_clean,28,30000,0.5042333333333333,0.7074423703910757,0.7123467313618779,0.7617350445534827,0.7422076192470353
abs_contrast_clean,28,30000,0.5042333333333333,0.6637035816669721,0.6667767721477175,0.7188907066142532,0.7087651475668775
contrast_clean_signed_abs,56,30000,0.5042333333333333,0.6992691289412476,0.7021494370522006,0.7534358229617268,0.7437241910332207
shared_contrast_clean,84,30000,0.5042333333333333,0.7764061762454074,0.766325891925725,0.8410358180742654,0.8672370208532234
all_decomposition,140,30000,0.5042333333333333,0.7661306196478413,0.7568932710603702,0.8331773969699365,0.8608064379803075
