category_key,category_name,pair_slug,concept_label,positive_concept,negative_concept,variant,layer,layer_index,n_examples,hidden_dim,mean_pos_projection,mean_neg_projection,mean_projection_dominance_pos_minus_neg,mean_abs_projection_gap,mean_min_projection,mean_pos_cosine,mean_neg_cosine,mean_cosine_dominance_pos_minus_neg,frac_pos_projection_dominates,frac_neg_projection_dominates,pos_vector_norm,neg_vector_norm,mean_hidden_norm
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,0,1,100,1536,8.36512539872867,5.588011445148613,2.7771139535800593,2.7771139535800593,5.588011445148613,0.15969979983960805,0.10666396326189881,0.05303583657770921,1.0,0.0,1.979169893960919,1.7497714444730685,52.36287434219016
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,posneg,0,1,100,1536,8.358300230970231,5.57966303166571,2.7786371993045202,2.7786371993045202,5.57966303166571,0.15954516947459813,0.1064883188627804,0.053056850611817724,1.0,0.0,1.979169893960919,1.7497714444730685,52.37120402642343
ideology,IDEOLOGY,ideology__collective_benefit__personal_benefit,collective-benefit vs personal-benefit,collective-benefit,personal-benefit,negpos,0,1,100,1536,8.51885214338784,5.156737206244221,3.3621149371436196,3.3621149371436196,5.156737206244221,0.16281049794620553,0.09853248364963624,0.06427801429656925,1.0,0.0,1.9008305972156985,1.6700667444459256,52.305742281691764
ideology,IDEOLOGY,ideology__collective_benefit__personal_benefit,collective-benefit vs personal-benefit,collective-benefit,personal-benefit,posneg,0,1,100,1536,8.51959846308876,5.159385545908179,3.360212917180578,3.360212917180578,5.159385545908179,0.16278822205386986,0.09856412841304156,0.0642240936408283,1.0,0.0,1.9008305972156985,1.6700667444459256,52.319180504775616
ideology,IDEOLOGY,ideology__collective_responsibility__individual_responsibility,collective-responsibility vs individual-responsibility,collective-responsibility,individual-responsibility,negpos,0,1,100,1536,8.104191015467386,5.317625433815319,2.7865655816520656,2.7865655816520656,5.317625433815319,0.15499189436849897,0.1016980257684597,0.05329386860003928,1.0,0.0,2.2967703808841304,2.071910552488673,52.28295594374202
ideology,IDEOLOGY,ideology__collective_responsibility__individual_responsibility,collective-responsibility vs individual-responsibility,collective-responsibility,individual-responsibility,posneg,0,1,100,1536,8.101678581133562,5.315168939333673,2.7865096417998876,2.7865096417998876,5.315168939333673,0.15495001411099552,0.10165508715648215,0.05329492695451336,1.0,0.0,2.2967703808841304,2.071910552488673,52.28087463901313
ideology,IDEOLOGY,ideology__collective_security__civil_liberty,collective-security vs civil-liberty,collective-security,civil-liberty,negpos,0,1,100,1536,7.672361256270507,6.508557472870374,1.1638037834001327,1.1638037834001327,6.508557472870374,0.14641476789204305,0.12419068167521816,0.02222408621682486,1.0,0.0,1.4946473373897635,1.7261470465732718,52.38250704128333
ideology,IDEOLOGY,ideology__collective_security__civil_liberty,collective-security vs civil-liberty,collective-security,civil-liberty,posneg,0,1,100,1536,7.676452358905137,6.520981143744215,1.1554712151609214,1.1554712151609214,6.520981143744215,0.14648643168492503,0.1244206150229353,0.022065816661989764,1.0,0.0,1.4946473373897635,1.7261470465732718,52.38289548078365
ideology,IDEOLOGY,ideology__collective_welfare__individual_liberty,collective-welfare vs individual-liberty,collective-welfare,individual-liberty,negpos,0,1,100,1536,8.034035836874846,5.756700337447044,2.277335499427801,2.277335499427801,5.756700337447044,0.15348356468777719,0.10996212887417207,0.0435214358136051,1.0,0.0,1.9354535050787083,1.6641017941232508,52.32662144195635
ideology,IDEOLOGY,ideology__collective_welfare__individual_liberty,collective-welfare vs individual-liberty,collective-welfare,individual-liberty,posneg,0,1,100,1536,8.02108981297814,5.75058391320996,2.270505899768179,2.270505899768179,5.75058391320996,0.15326312335109946,0.10986433995196475,0.043398783399134694,1.0,0.0,1.9354535050787083,1.6641017941232508,52.317557187582715
