features,model,n,positive_rate,balanced_accuracy,f1,roc_auc,average_precision,n_features,n_pairs,split
raw_pos_neg,logistic,30000,0.5042333333333333,0.7787975054442903,0.7660981185159135,0.8446169858994026,0.870233752553126,,,
category_centered_pos_neg,logistic,30000,0.5042333333333333,0.38187880143639275,0.382977307513143,0.3365957197882865,0.3985888657682436,,,
pair_centered_pos_neg,gradient_boosting,30000,0.5042333333333333,0.7558173692371041,0.7433467389403742,0.8226746085278264,0.8413746621703657,56.0,150.0,GroupKFold(pair_slug)
pair_centered_pos_neg,rbf_features_logistic,30000,0.5042333333333333,0.7253277569395186,0.716928039531931,0.7965072616249901,0.8127471721267922,56.0,150.0,GroupKFold(pair_slug)
pair_centered_pos_neg,logistic,30000,0.5042333333333333,0.532000569498602,0.5322005663834749,0.5383788200532829,0.5280722018711045,56.0,150.0,GroupKFold(pair_slug)
pair_centered_pos_neg,dummy_prior,30000,0.5042333333333333,0.43738217794288015,0.4912609050019621,0.4170340526321551,0.45807811198519205,56.0,150.0,GroupKFold(pair_slug)
pair_centered_pos_neg_plus_trajectory,gradient_boosting,30000,0.5042333333333333,0.7548336676098883,0.7417738374741564,0.8204372792572318,0.8401972798711848,80.0,150.0,GroupKFold(pair_slug)
pair_centered_pos_neg_plus_trajectory,rbf_features_logistic,30000,0.5042333333333333,0.7142256121995518,0.7079844802940576,0.7832895852343122,0.7978323912826801,80.0,150.0,GroupKFold(pair_slug)
pair_centered_pos_neg_plus_trajectory,logistic,30000,0.5042333333333333,0.6282677392460725,0.633127138720716,0.6734163534771789,0.6489691853555672,80.0,150.0,GroupKFold(pair_slug)
pair_centered_pos_neg_plus_trajectory,dummy_prior,30000,0.5042333333333333,0.43738217794288015,0.4912609050019621,0.4170340526321551,0.45807811198519205,80.0,150.0,GroupKFold(pair_slug)
