category_key,category_name,pair_slug,concept_label,positive_concept,negative_concept,variant,layer,layer_index,n_examples,hidden_dim,mean_pos_projection,mean_neg_projection,mean_projection_dominance_pos_minus_neg,mean_abs_projection_gap,mean_min_projection,mean_pos_cosine,mean_neg_cosine,mean_cosine_dominance_pos_minus_neg,frac_pos_projection_dominates,frac_neg_projection_dominates,pos_vector_norm,neg_vector_norm,mean_hidden_norm
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,0,1,100,3072,-0.10911151247337827,-0.14884279893191857,0.03973128645854028,0.03973128645854028,-0.14884279893191857,-0.05766083922089965,-0.07866172018279383,0.02100088096189418,1.0,0.0,0.14841362336326752,0.13044086389839207,1.8922017542993066
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,posneg,0,1,100,3072,-0.10862476360937923,-0.14822242892568543,0.03959766531630622,0.03959766531630622,-0.14822242892568543,-0.057402795611358554,-0.07833263302314261,0.02092983741178405,1.0,0.0,0.14841362336326752,0.13044086389839207,1.8922316831247854
ideology,IDEOLOGY,ideology__collective_benefit__personal_benefit,collective-benefit vs personal-benefit,collective-benefit,personal-benefit,negpos,0,1,100,3072,-0.12832521943575678,-0.16304284983270326,0.034717630396946524,0.034717630396946524,-0.16304284983270326,-0.0678079187098669,-0.08615631762037892,0.01834839891051204,1.0,0.0,0.1431729479445226,0.12415650105486677,1.8924097854249338
ideology,IDEOLOGY,ideology__collective_benefit__personal_benefit,collective-benefit vs personal-benefit,collective-benefit,personal-benefit,posneg,0,1,100,3072,-0.1286456722209023,-0.1627970963059304,0.0341514240850281,0.0341514240850281,-0.1627970963059304,-0.06797433066717588,-0.0860227572742541,0.01804842660707821,1.0,0.0,0.1431729479445226,0.12415650105486677,1.8924841148734182
ideology,IDEOLOGY,ideology__collective_responsibility__individual_responsibility,collective-responsibility vs individual-responsibility,collective-responsibility,individual-responsibility,negpos,0,1,100,3072,-0.10799103788438584,-0.14275057697497445,0.0347595390905886,0.0347595390905886,-0.14275057697497445,-0.05692091776837707,-0.07524440850414547,0.018323490735768413,1.0,0.0,0.13909675617124065,0.1162595319575856,1.8971973654034744
ideology,IDEOLOGY,ideology__collective_responsibility__individual_responsibility,collective-responsibility vs individual-responsibility,collective-responsibility,individual-responsibility,posneg,0,1,100,3072,-0.10834467707463366,-0.1429516712942401,0.034606994219606425,0.034606994219606425,-0.1429516712942401,-0.05710402633669039,-0.07534618050901744,0.01824215417232704,1.0,0.0,0.13909675617124065,0.1162595319575856,1.8973005876847662
ideology,IDEOLOGY,ideology__collective_security__civil_liberty,collective-security vs civil-liberty,collective-security,civil-liberty,negpos,0,1,100,3072,-0.13698257146022605,-0.04386257056854948,-0.09312000089167656,0.09312000089167656,-0.13698257146022605,-0.07236911811091772,-0.02317287021676324,-0.049196247894154485,0.0,1.0,0.15996968716310975,0.1400032774415282,1.8927358153497749
ideology,IDEOLOGY,ideology__collective_security__civil_liberty,collective-security vs civil-liberty,collective-security,civil-liberty,posneg,0,1,100,3072,-0.13812061155913985,-0.04320483415861954,-0.0949157774005203,0.0949157774005203,-0.13812061155913985,-0.07295212131000262,-0.02281973856184356,-0.050132382748159045,0.0,1.0,0.15996968716310975,0.1400032774415282,1.893217020677297
ideology,IDEOLOGY,ideology__collective_welfare__individual_liberty,collective-welfare vs individual-liberty,collective-welfare,individual-liberty,negpos,0,1,100,3072,-0.09960261713175807,-0.0721063054445798,-0.027496311687178303,0.027496311687178303,-0.09960261713175807,-0.05251767867499556,-0.03802211664550039,-0.014495562029495179,0.0,1.0,0.16224537194493294,0.13348413483741906,1.8964673344962168
ideology,IDEOLOGY,ideology__collective_welfare__individual_liberty,collective-welfare vs individual-liberty,collective-welfare,individual-liberty,posneg,0,1,100,3072,-0.10148223010418565,-0.07092007717672703,-0.030562152927458626,0.030562152927458626,-0.10148223010418565,-0.05350061541144774,-0.0373903027886041,-0.016110312622843626,0.0,1.0,0.16224537194493294,0.13348413483741906,1.89676455475966
