category_key,category_name,pair_slug,concept_label,positive_concept,negative_concept,variant,layer,layer_index,n_examples,hidden_dim,mean_pos_projection,mean_neg_projection,mean_projection_dominance_pos_minus_neg,mean_abs_projection_gap,mean_min_projection,mean_pos_cosine,mean_neg_cosine,mean_cosine_dominance_pos_minus_neg,frac_pos_projection_dominates,frac_neg_projection_dominates,pos_vector_norm,neg_vector_norm,mean_hidden_norm
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,0,1,100,2048,0.809319905262776,0.988538063466409,-0.17921815820363288,0.18705403147566166,0.8054019686267617,0.017055825047314205,0.02083209447284877,-0.003776269425534559,0.1,0.9,1.0542715581539532,0.6158541445068676,47.47610723309719
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,posneg,0,1,100,2048,0.8043438066244455,0.9932590928370899,-0.1889152862126443,0.19532823675121605,0.8011373313551597,0.016949950085156346,0.020930038584177003,-0.003980088499020661,0.1,0.9,1.0542715581539532,0.6158541445068676,47.47974995313802
ideology,IDEOLOGY,ideology__collective_benefit__personal_benefit,collective-benefit vs personal-benefit,collective-benefit,personal-benefit,negpos,0,1,100,2048,0.6516152846769586,-0.3798829665651198,1.0314982512420785,1.0314982512420785,-0.3798829665651198,0.013736958106831341,-0.007992933229649838,0.021729891336481177,1.0,0.0,1.0393220511038692,0.617052823840154,47.466207974246245
ideology,IDEOLOGY,ideology__collective_benefit__personal_benefit,collective-benefit vs personal-benefit,collective-benefit,personal-benefit,posneg,0,1,100,2048,0.641756611376121,-0.37524321072172995,1.016999822097851,1.016999822097851,-0.37524321072172995,0.013530275899336435,-0.007896214983403118,0.021426490882739558,1.0,0.0,1.0393220511038692,0.617052823840154,47.46215893708788
ideology,IDEOLOGY,ideology__collective_responsibility__individual_responsibility,collective-responsibility vs individual-responsibility,collective-responsibility,individual-responsibility,negpos,0,1,100,2048,0.5678077926742037,-0.8745775721951337,1.4423853648693374,1.4423853648693374,-0.8745775721951337,0.011972783541732842,-0.018418472821426356,0.03039125636315919,1.0,0.0,1.065497582932934,0.6140299546681263,47.45830679411233
ideology,IDEOLOGY,ideology__collective_responsibility__individual_responsibility,collective-responsibility vs individual-responsibility,collective-responsibility,individual-responsibility,posneg,0,1,100,2048,0.5586309736770001,-0.8777176936703245,1.4363486673473245,1.4363486673473245,-0.8777176936703245,0.01177898456933791,-0.018484891023014222,0.030263875592352135,1.0,0.0,1.065497582932934,0.6140299546681263,47.45835215548081
ideology,IDEOLOGY,ideology__collective_security__civil_liberty,collective-security vs civil-liberty,collective-security,civil-liberty,negpos,0,1,100,2048,2.004195017782173,-1.3070010742121962,3.311196091994369,3.311196091994369,-1.3070010742121962,0.042253904349000296,-0.027538948388499383,0.06979285273749967,1.0,0.0,1.003871950366558,0.6164081540611648,47.44199632596919
ideology,IDEOLOGY,ideology__collective_security__civil_liberty,collective-security vs civil-liberty,collective-security,civil-liberty,posneg,0,1,100,2048,2.0017786254364514,-1.3011258046028582,3.3029044300393093,3.3029044300393093,-1.3011258046028582,0.04220814506358221,-0.02741794349644376,0.06962608856002599,1.0,0.0,1.003871950366558,0.6164081540611648,47.437207722181384
ideology,IDEOLOGY,ideology__collective_welfare__individual_liberty,collective-welfare vs individual-liberty,collective-welfare,individual-liberty,negpos,0,1,100,2048,2.4539853602262096,-1.425006266150216,3.8789916263764264,3.8789916263764264,-1.425006266150216,0.05167819058963038,-0.02999171705650594,0.0816699076461363,1.0,0.0,1.0502818887589427,0.5900433303619872,47.49486724879103
ideology,IDEOLOGY,ideology__collective_welfare__individual_liberty,collective-welfare vs individual-liberty,collective-welfare,individual-liberty,posneg,0,1,100,2048,2.438950195700458,-1.4337344091362558,3.872684604836714,3.872684604836714,-1.4337344091362558,0.05136388024819761,-0.030177886413154394,0.081541766661352,1.0,0.0,1.0502818887589427,0.5900433303619872,47.491621125783986
ideology,IDEOLOGY,ideology__competition_policy__cooperation_policy,competition-policy vs cooperation-policy,competition-policy,cooperation-policy,negpos,0,1,100,2048,2.9917871954903825,3.5887341449121073,-0.5969469494217254,0.5969469494217254,2.9917871954903825,0.06303801919249977,0.07561535529013763,-0.012577336097637868,0.0,1.0,1.076304650541623,0.6774544441503346,47.46553027079479
ideology,IDEOLOGY,ideology__competition_policy__cooperation_policy,competition-policy vs cooperation-policy,competition-policy,cooperation-policy,posneg,0,1,100,2048,2.995919841062212,3.600318665008508,-0.6043988239462964,0.6043988239462964,2.995919841062212,0.06312285666174942,0.07585709989969758,-0.01273424323794814,0.0,1.0,1.076304650541623,0.6774544441503346,47.466645029834
ideology,IDEOLOGY,ideology__consumer_protection__corporate_freedom,consumer-protection vs corporate-freedom,consumer-protection,corporate-freedom,negpos,0,1,100,2048,0.46649462491151283,0.04651678795165562,0.41997783695985724,0.41997783695985724,0.04651678795165562,0.009845225518609795,0.0009922427299423706,0.008852982788667425,1.0,0.0,1.0723083290759388,0.767627216778322,47.42534121868489
ideology,IDEOLOGY,ideology__consumer_protection__corporate_freedom,consumer-protection vs corporate-freedom,consumer-protection,corporate-freedom,posneg,0,1,100,2048,0.4676817912772833,0.09850153906651091,0.36918025221077244,0.36918025221077244,0.09850153906651091,0.009867613136358887,0.0020877241523647957,0.00777988898399409,1.0,0.0,1.0723083290759388,0.767627216778322,47.43426250120388
