layer_index,mean_shared_norm,mean_contrast_norm,mean_contrast_clean_norm,mean_abs_contrast_shared_cos,median_abs_contrast_shared_cos,mean_contrast_to_shared_norm_ratio,num_pairs
1,1.2645222965876262,0.8696692359447479,0.6825763150056203,0.6152857691049576,0.6285007297992706,0.6925879626479019,150
2,1.5034946497281392,0.9486554555098216,0.7945249772071838,0.5430977596839269,0.5497832596302032,0.633006773512939,150
3,2.0009484283129373,1.0842004668712617,0.9656085658073426,0.43403878645350535,0.4624784290790558,0.5422611994151229,150
4,2.9111499118804933,1.2387274916966755,1.1829658087094626,0.27823191452771423,0.2793366014957428,0.42659790887623417,150
5,3.182018446922302,1.3887089165051778,1.3523584008216858,0.2055610899006327,0.20226167887449265,0.4374534485596113,150
6,4.32612446308136,1.5984567149480184,1.584819045861562,0.10757337555211659,0.09491699561476707,0.3701286028984136,150
7,4.6132437547047935,1.616023886203766,1.6013451727231343,0.1108485135762021,0.09518038481473923,0.3506910313542531,150
8,5.032308216094971,1.709218401114146,1.696375327905019,0.10122903105259562,0.09105640649795532,0.3401096734409082,150
9,5.186959419250488,1.7022261579831441,1.6915565061569213,0.09140511575775842,0.07895612716674805,0.3289760614435566,150
10,4.813378346761068,1.6245367550849914,1.6149728067715963,0.08874693399450431,0.07448001578450203,0.33825277042902013,150
11,4.717283957799276,1.5783045403162639,1.5699153017997742,0.0838929764633455,0.06818494200706482,0.3350191885511484,150
12,4.881280692418416,1.473290015856425,1.4637653104464212,0.08918949443264865,0.06925347074866295,0.30377232332370646,150
13,5.1236159737904865,1.593056672414144,1.5689254434903463,0.13766643113495472,0.13031678646802902,0.3137763969661307,150
14,5.323660090764363,1.589058526357015,1.5632059025764464,0.13955297122573634,0.12321823462843895,0.3011576636554763,150
15,6.078738066355387,1.6577166517575581,1.6113265403111776,0.1915192255191505,0.18747854977846146,0.2748093038593699,150
16,6.538549400965373,1.724421696662903,1.6753225755691528,0.19849762772520382,0.1787038818001747,0.26581331214829307,150
17,7.547765172322591,1.873234527905782,1.8043542909622192,0.22816371707285726,0.22801408916711807,0.25074938067659863,150
18,8.94860354423523,2.091427708466848,2.0132382106781006,0.22656210456353923,0.21034438163042068,0.23576752883979538,150
19,9.412036883036295,2.346573808193207,2.2715982508659365,0.21005603632424028,0.18565654009580612,0.2493176772475583,150
20,10.055711488723755,2.4336389756202697,2.3560320639610293,0.21418746944749728,0.20797424018383026,0.24227600357097676,150
21,10.26326644897461,2.5968930037816365,2.529281720320384,0.1930402890049542,0.1849268600344658,0.25087084913492147,150
22,10.667726669311524,2.6862054642041526,2.6190543874104817,0.18501250875803332,0.18189499527215958,0.24868960517191227,150
23,11.269958337148031,3.6788817381858827,3.633067733446757,0.12496999709672915,0.10909733176231384,0.31779653200681923,150
24,12.674279594421387,4.568491304715474,4.510401368935903,0.12550126628989045,0.1013902947306633,0.34997476763014707,150
25,12.971188456217448,4.34286730448405,4.273166419665019,0.14757161969862256,0.12213518097996712,0.32430377211087286,150
26,13.262883955637614,4.632665873368581,4.552119141419729,0.15380015406524764,0.13186325877904892,0.33888182587333826,150
27,12.990206146240235,4.633327979246776,4.557951259613037,0.1466243669592465,0.12335387244820595,0.3457833169483842,150
28,13.172655919392904,4.779149540265402,4.698811508814494,0.14868251150629172,0.13093850761651993,0.35390413541317967,150
29,13.67582899093628,5.075246729850769,4.959232492446899,0.16983641340242078,0.1546826958656311,0.3636481870517102,150
30,13.767299982706705,5.3338735485076905,5.232488015492757,0.1491364352280895,0.12493610754609108,0.3792231883581282,150
31,15.786471398671468,6.883290384610494,6.740885270436605,0.1522248590302964,0.13766716420650482,0.4299193556273556,150
32,16.83163532892863,7.318313360214233,7.172999189694722,0.14451657721656375,0.1271122843027115,0.4279111018775504,150
33,17.209774754842122,7.102938175201416,6.967923703193665,0.1499639955422996,0.1483399048447609,0.40681335705898153,150
34,21.78419091542562,8.718860317866007,8.561199038823446,0.14559646649984642,0.12197904661297798,0.39458763812328185,150
35,16.186465142567954,6.263214446703593,6.1632060591379805,0.13396382530219852,0.10931438952684402,0.3837776067101626,150
